metdiv20,MetDivName,Num Eligible,Num Ineligible,Percentage Eligible
11244,"Anaheim-Santa Ana-Irvine, CA",425077,651698,39.48
14454,"Boston, MA",320320,473987,40.33
15764,"Cambridge-Newton-Framingham, MA",343578,601669,36.35
15804,"Camden, NJ",173936,315550,35.53
16984,"Chicago-Naperville-Evanston, IL",1118496,1683926,39.91
19124,"Dallas-Plano-Irving, TX",669190,1251199,34.85
19804,"Detroit-Dearborn-Livonia, MI",368229,326725,52.99
20994,"Elgin, IL",97385,171953,36.16
22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",328575,419214,43.94
23104,"Fort Worth-Arlington-Grapevine, TX",332174,585823,36.18
23224,"Frederick-Gaithersburg-Rockville, MD",145543,346351,29.59
23844,"Gary, IN",119891,159120,42.97
29404,"Lake County-Kenosha County, IL-WI",103986,217870,32.31
31084,"Los Angeles-Long Beach-Glendale, CA",1702407,1673249,50.43
33124,"Miami-Miami Beach-Kendall, FL",530574,438106,54.77
33874,"Montgomery County-Bucks County-Chester County, PA",222219,565254,28.22
35004,"Nassau County-Suffolk County, NY",300708,671529,30.93
35084,"Newark, NJ-PA",312468,536618,36.8
35154,"New Brunswick-Lakewood, NJ",296045,634583,31.81
35614,"New York-Jersey City-White Plains, NY-NJ",2239269,2355842,48.73
36084,"Oakland-Berkeley-Livermore, CA",357668,643180,35.74
37964,"Philadelphia, PA",452567,426586,51.48
40484,"Rockingham County-Strafford County, NH",46535,132353,26.01
41884,"San Francisco-San Mateo-Redwood City, CA",201351,413626,32.74
42034,"San Rafael, CA",29547,73831,28.58
42644,"Seattle-Bellevue-Kent, WA",383168,854091,30.97
45104,"Tacoma-Lakewood, WA",130599,216779,37.6
47664,"Warren-Troy-Farmington Hills, MI",379629,685496,35.64
47894,"Washington-Arlington-Alexandria, DC-VA-MD-WV",444926,1131525,28.22
48424,"West Palm Beach-Boca Raton-Boynton Beach, FL",236272,359382,39.67
48864,"Wilmington, DE-MD-NJ",104351,181109,36.56
99999,[not in any metro division],41183595,55091989,42.78
